Condition #,smiles,Control_PCE,PCE_difference,target_PCE,Doi
98,O=C1CC(=O)NC(=O)N1,21.59,1.2,22.79,https://doi.org/10.1002/solr.202200512
99,ON1C(=O)CCC1=O,19.97,2.24,22.21,https://doi.org/10.1002/solr.202200502
100,Clc1ccc2[nH]ccc2c1,20.58,1.89,22.47,https://doi.org/10.1002/solr.202100995
101,C1=CSC(=C1)C2=CC=C(C3=NSN=C23)C4=CC=CS4,17.18,3.39,20.57,https://doi.org/10.1002/solr.202200786
102,CC(C)(C)NSc1sc2ccccc2n1,19.71,1.26,20.97,https://doi.org/10.1002/solr.202200487
103,C1=CC(=C(C=C1C(C2=CC(=C(C=C2)O)N)(C(F)(F)F)C(F)(F)F)N)O,18.2,2.1,20.3,https://doi.org/10.1002/solr.202200296
104,[NH3+]CC1CCOCC1,20.56,1.66,22.22,https://doi.org/10.1002/solr.202100979
105,Fc1nc(F)nc(F)n1,19.27,1.84,21.11,https://doi.org/10.1021/acsami.1c21081
106,Clc1nc(Cl)nc(Cl)n1,19.27,1.35,20.62,https://doi.org/10.1021/acsami.1c21081
107,CSC1=NCCN1,19.87,1.38,21.25,https://doi.org/10.1021/acsami.1c23991
108,S=C1Nc2ccccc2N1,19.1,1.8,20.9,https://doi.org/10.1021/acsami.2c05605
109,NC(Cc1[nH]cnc1)C(O)=O,20.31,2.6,22.91,https://doi.org/10.1021/acsami.2c13585
110,Cc1ccc(O)c(c1)n2nc3ccccc3n2,21.26,1.2,22.46,https://doi.org/10.1016/j.jechem.2021.09.027
111,O=C(Nc1ccccc1)Nc2ccccc2,20.3,1.4,21.7,https://doi.org/10.1021/acsaem.2c02313
112,NCCc1c[nH]c2ccccc12,17.27,3.13,20.4,https://doi.org/10.1021/acsaem.2c01144
113,CCC1=NS(=O)(=O)C2=CC=CC=C21,21.46,2.39,23.85,DOI: 10.1039/d2ta02084j
114,s1cccc1c2sccc2,21.74,0.13,21.87,DOI: 10.1039/d2ta01349e
115,CC(=O)c1ccc(cc1)N2C(=O)C=CC2=O,20.09,2.94,23.03,https://doi.org/10.1002/smtd.202200260
116,C1=CC(=CC=C1C2=NC(=NC(=N2)C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)F,18.32,1.49,19.81,https://doi.org/10.1016/j.apsusc.2022.153051
117,Brc1ccc(cc1)c2nc(nc(n2)c3ccc(Br)cc3)c4ccc(Br)cc4,18.32,0.93,19.25,https://doi.org/10.1016/j.apsusc.2022.153051
118,O=Cc1ccc(cc1)c2ccccc2,20.77,1.98,22.75,https://doi.org/10.1002/anie.202302462
119,CC(=O)c1ccc(cc1)c2ccccc2,20.77,1.7,22.47,https://doi.org/10.1002/anie.202302462
120,[nH]1cnc2ccccc12,22.72,1.56,24.28,https://doi.org/10.1002/aenm.202202189
121,CN1c2ccccc2C(C)(C)C13Oc4ccc(cc4C=C3)[N+]([O-])=O,21.96,1.27,23.23,https://doi.org/10.1002/adma.202205338
122,O=C1C=CC(=O)N1c2ccc(Cc3ccc(cc3)N4C(=O)C=CC4=O)cc2,21.1,1.6,22.7,https://doi.org/10.1002/adfm.202201193
123,CC1=C(SC(=C1C2=C(C(=O)NC2=O)C3=C(SC(=C3C)C)C)C)C,19.39,4.73,24.12,https://doi.org/10.1002/ente.202200125
124,COc1ccc(c(O)c1)C(=O)c2ccccc2,22.58,1.02,23.6,https://doi.org/10.1016/j.orgel.2023.106762
125,[Br-].CC[n+]1ccccc1,18.85,0.59,19.44,https://doi.org/10.1016/j.apsusc.2022.155042
126,O=C(/C=C/C=C/c1ccc2OCOc2c1)N3CCCCC3,21.49,1.88,23.37,https://doi.org/10.1021/acssuschemeng.2c05527
127,S=C1NC=CC=C1,19.07,2.7,21.77,https://doi.org/10.1021/acssuschemeng.2c05816
128,OC(=O)c1oc(cc1)C(O)=O,21.73,2.34,24.07,https://doi.org/10.1021/acssuschemeng.2c07584
